_id,clave_entidad,entidad_federativa,clave_municipio,Municipio,grupo,Poblacion
126,7,Chiapas,7054,Mazatán,Población indígena,308
109,7,Chiapas,7037,Huehuetán,Población indígena,280
122,7,Chiapas,7050,La Libertad,Población indígena,280
173,7,Chiapas,7102,Tuxtla Chico,Población indígena,265
152,7,Chiapas,7080,Siltepec,Población indígena,187
100,7,Chiapas,7028,Chiapilla,Población indígena,180
73,7,Chiapas,7001,Acacoyagua,Población indígena,179
75,7,Chiapas,7003,Acapetahua,Población indígena,179
188,7,Chiapas,7117,Montecristo de Guerrero,Población indígena,175
108,7,Chiapas,7036,La Grandeza,Población indígena,142
107,7,Chiapas,7035,Frontera Hidalgo,Población indígena,135
127,7,Chiapas,7055,Metapa,Población indígena,91
130,7,Chiapas,7058,Nicolás Ruí­z,Población indígena,79
82,7,Chiapas,7010,Bejucal de Ocampo,Población indígena,67
160,7,Chiapas,7088,Sunuapa,Población indígena,60
191,7,Chiapas,7120,Capitán Luis Ángel Vidal,Población indígena,32
